"week","state","SumOfnew_case"
18,"VA",5336.00
18,"VT",409.00
18,"WA",9184.00
18,"WI",4633.00
18,"WV",2503.00
18,"WY",479.00
19,"AK",530.00
19,"AL",2026.00
19,"AR",1272.00
19,"AZ",4114.00
19,"CA",8911.00
19,"CO",8688.00
19,"CT",2204.00
19,"DC",324.00
19,"DE",858.00
19,"FL",22608.00
19,"GA",5742.00
19,"HI",524.00
19,"IA",1669.00
19,"ID",1103.00
19,"IL",11794.00
19,"IN",5925.00
19,"KS",1131.00
19,"KY",2862.00
19,"LA",3066.00
19,"MA",4950.00
19,"MD",2879.00
19,"ME",1721.00
19,"MI",10634.00
19,"MN",6663.00
19,"MO",2998.00
19,"MS",1204.00
19,"MT",755.00
19,"NC",7297.00
19,"ND",622.00
19,"NE",952.00
19,"NH",1062.00
19,"NJ",2935.00
19,"NM",1306.00
19,"NV",2473.00
19,"NY",8436.00
19,"OH",7461.00
19,"OK",901.00
19,"OR",4375.00
19,"PA",12844.00
19,"RI",924.00
19,"SC",2918.00
19,"SD",399.00
19,"TN",4265.00
19,"TX",15545.00
19,"UT",2205.00
19,"VA",3534.00
19,"VT",343.00
19,"WA",8084.00
19,"WI",3585.00
19,"WV",2229.00
19,"WY",456.00
20,"AK",411.00
20,"AL",1822.00
20,"AR",1353.00
20,"AZ",3915.00
20,"CA",7494.00
20,"CO",5899.00
20,"CT",1256.00
20,"DC",188.00
20,"DE",700.00
20,"FL",18383.00
20,"GA",4542.00
20,"HI",546.00
20,"IA",1287.00
20,"ID",1143.00
20,"IL",9545.00
20,"IN",4890.00
20,"KS",1262.00
20,"KY",2587.00
20,"LA",2807.00
20,"MA",3306.00
20,"MD",2288.00
20,"ME",1264.00
20,"MI",7148.00
20,"MN",4705.00
20,"MO",3011.00
20,"MS",1157.00
20,"MT",524.00
20,"NC",6018.00
20,"ND",499.00
20,"NE",523.00
20,"NH",681.00
20,"NJ",3297.00
20,"NM",1157.00
20,"NV",1768.00
20,"NY",6150.00
20,"OH",6341.00
20,"OK",830.00
20,"OR",3177.00
20,"PA",9881.00
20,"RI",661.00
20,"SC",2402.00
20,"SD",264.00
20,"TN",3532.00
20,"TX",12075.00
20,"UT",1921.00
20,"VA",2845.00
20,"VT",221.00
20,"WA",6649.00
20,"WI",2839.00
20,"WV",1710.00
20,"WY",579.00
21,"AK",292.00
21,"AL",1220.00
21,"AR",1250.00
21,"AZ",4055.00
21,"CA",6389.00
21,"CO",5436.00
21,"CT",943.00
21,"DC",205.00
21,"DE",467.00
21,"FL",13791.00
21,"GA",3729.00
21,"HI",279.00
21,"IA",814.00
21,"ID",887.00
21,"IL",6498.00
21,"IN",3712.00
21,"KS",1013.00
21,"KY",1899.00
21,"LA",2919.00
21,"MA",1987.00
21,"MD",1419.00
21,"ME",759.00
21,"MI",3859.00
21,"MN",2778.00
21,"MO",3120.00
21,"MS",994.00
21,"MT",617.00
21,"NC",4619.00
21,"ND",332.00
21,"NE",357.00
21,"NH",455.00
21,"NJ",2102.00
21,"NM",945.00
21,"NV",1389.00
21,"NY",4002.00
21,"OH",4940.00
21,"OK",704.00
21,"OR",2648.00
21,"PA",6362.00
21,"RI",425.00
21,"SC",2006.00
21,"SD",250.00
21,"TN",2203.00
21,"TX",12002.00
21,"UT",1605.00
21,"VA",2363.00
21,"VT",105.00
21,"WA",7401.00
21,"WI",1875.00
21,"WV",1489.00
21,"WY",493.00
22,"AK",235.00
22,"AL",1081.00
22,"AR",1055.00
22,"AZ",2848.00
22,"CA",5797.00
22,"CO",4095.00
22,"CT",560.00
22,"DC",159.00
22,"DE",270.00
22,"FL",12546.00
22,"GA",2511.00
22,"HI",394.00
22,"IA",625.00
22,"ID",820.00
22,"IL",3840.00
22,"IN",3216.00
22,"KS",791.00
22,"KY",1260.00
22,"LA",2316.00
22,"MA",1157.00
22,"MD",864.00
22,"ME",494.00
22,"MI",2299.00
22,"MN",1323.00
22,"MO",2799.00
22,"MS",851.00
22,"MT",514.00
22,"NC",3229.00
22,"ND",264.00
22,"NE",275.00
22,"NH",199.00
22,"NJ",1806.00
22,"NM",613.00
22,"NV",1725.00
22,"NY",2508.00
22,"OH",2823.00
22,"OK",702.00
22,"OR",1991.00
22,"PA",3915.00
22,"RI",250.00
22,"SC",1428.00
22,"SD",93.00
22,"TN",1704.00
22,"TX",9285.00
22,"UT",1568.00
