"MMWR_week","Recip_State","SumOfSeries_Complete_Yes"
8,"AR",1274126.00
8,"AZ",3036791.00
8,"CA",15801075.00
8,"CO",2919035.00
8,"CT",1311873.00
8,"DC",239229.00
8,"DE",376947.00
8,"FL",10490201.00
8,"GA",4654092.00
8,"HI",0.00
8,"IA",1114496.00
8,"ID",750859.00
8,"IL",4485913.00
8,"IN",3389384.00
8,"KS",1236535.00
8,"KY",2054677.00
8,"LA",2254911.00
8,"MA",2893729.00
8,"MD",2863533.00
8,"ME",655159.00
8,"MI",5116012.00
8,"MN",2720650.00
8,"MO",2543042.00
8,"MS",1156738.00
8,"MT",562355.00
8,"NC",5598991.00
8,"ND",467717.00
8,"NE",914272.00
8,"NH",81382.00
8,"NJ",4299614.00
8,"NM",1521368.00
8,"NV",1326580.00
8,"NY",9111591.00
8,"OH",5243601.00
8,"OK",2348851.00
8,"OR",2092476.00
8,"PA",4981231.00
8,"RI",454653.00
8,"SC",2070177.00
8,"SD",574506.00
8,"TN",2708614.00
8,"TX",0.00
8,"UT",1114836.00
8,"VA",4054875.00
8,"VT",324384.00
8,"WA",3333213.00
8,"WI",2866246.00
8,"WV",1259071.00
8,"WY",315612.00
9,"AK",759035.00
9,"AL",2482147.00
9,"AR",1738626.00
9,"AZ",4241331.00
9,"CA",21016714.00
9,"CO",3553156.00
9,"CT",1734531.00
9,"DC",313178.00
9,"DE",573039.00
9,"FL",12181531.00
9,"GA",5542498.00
9,"HI",0.00
9,"IA",1464545.00
9,"ID",999390.00
9,"IL",6390396.00
9,"IN",4307860.00
9,"KS",1590833.00
9,"KY",2650446.00
9,"LA",2775896.00
9,"MA",3947008.00
9,"MD",3810502.00
9,"ME",800261.00
9,"MI",6267262.00
9,"MN",3524154.00
9,"MO",3260406.00
9,"MS",1653679.00
9,"MT",728009.00
9,"NC",6743866.00
9,"ND",578070.00
9,"NE",1211309.00
9,"NH",95225.00
9,"NJ",5514939.00
9,"NM",1879147.00
9,"NV",1748519.00
9,"NY",11116413.00
9,"OH",6863643.00
9,"OK",3071246.00
9,"OR",2668793.00
9,"PA",6559701.00
9,"RI",571558.00
9,"SC",2766966.00
9,"SD",702385.00
9,"TN",3476586.00
9,"TX",0.00
9,"UT",1371575.00
9,"VA",5488468.00
9,"VT",396415.00
9,"WA",4678977.00
9,"WI",3873265.00
9,"WV",1489113.00
9,"WY",402590.00
10,"AK",882150.00
10,"AL",3133995.00
10,"AR",2033753.00
